week_start_date,reanalysis_dew_point_temp_k,reanalysis_min_air_temp_k,station_temp_c,reanalysis_tdtr_k,weekofyear,total_cases
2000-10-28,21.55857142900004,18.75,26.9,8.92857142857,43,0
2000-11-04,22.12428571400005,19.25,27.55238095236666,10.314285714299999,44,0
2000-11-11,22.129999999999995,21.150000000000034,28.258333333333336,7.385714285710001,45,0
2000-11-18,21.082857143000005,21.05000000000001,27.53333333333333,9.114285714289998,46,0
2000-11-25,19.910000000000025,20.45000000000005,28.066666666666666,9.5,47,0
2000-12-02,21.567142857000018,20.350000000000023,28.29166666666667,13.771428571400001,48,0
2000-12-09,20.155714286000034,18.850000000000023,29.04166666666667,11.4714285714,49,0
2000-12-16,21.370000000000005,18.75,28.566666666666666,13.7,50,1
2000-12-23,17.942857143000023,21.45000000000005,27.41666666666667,13.771428571400001,51,0
2001-01-01,23.840000000000032,20.05000000000001,28.0,12.457142857100001,1,0
2001-01-08,21.195714285999998,19.350000000000023,27.1388888889,14.9,2,0
2001-01-15,21.91142857099999,20.850000000000023,28.066666666666666,13.857142857100001,3,0
2001-01-22,21.444285714000046,19.150000000000034,27.477777777766665,11.3142857143,4,0
2001-01-29,21.26142857100001,19.05000000000001,26.96666666666667,14.9428571429,5,0
2001-02-05,20.258571429000032,19.350000000000023,26.85,11.9714285714,6,0
2001-02-12,21.288571429000054,19.150000000000034,25.6388888889,13.485714285699999,7,0
2001-02-19,21.580000000000037,17.450000000000045,26.477777777766665,14.9285714286,8,0
2001-02-26,22.617142857000037,20.55000000000001,27.75,13.457142857100001,9,0
2001-03-05,23.31,21.650000000000034,26.766666666666666,13.328571428599998,10,0
2001-03-12,22.394285714000034,19.650000000000034,27.044444444433328,12.871428571400001,11,0
2001-03-19,22.007142857000016,20.05000000000001,26.75333333333333,13.371428571400001,12,0
2001-03-26,22.928571429000048,19.650000000000034,26.83333333333333,13.142857142899999,13,0
2001-04-02,22.545714286000017,19.75,27.08333333333333,12.014285714300001,14,0
2001-04-09,22.980000000000015,18.95000000000005,27.177777777766668,15.457142857100001,15,0
2001-04-16,22.835714285999984,19.650000000000034,27.08333333333333,11.9714285714,16,1
2001-04-23,22.27857142900001,20.05000000000001,27.55333333333333,13.0,17,0
2001-04-30,22.590000000000032,19.95000000000005,26.653333333333336,6.94285714286,18,0
